,OBJECTID,GEO_ID,LFN_ID,LF_NAME,FNODE,TNODE,ONE_WAY_DI,length_in_,GEO_ID_1,LTS,Shape_Leng,geometry,index_left,Count Date,8 Peak Hr Vehicle Volume,8 Peak Hr Pedestrian Volume
7,8,9950476,1962,Lake Shore Blvd W,13470681,13470690,0,90.2462991928,9950476,3,0.00108176671737,"LINESTRING (617707.9530527903 4827656.477619603, 617679.0113064559 4827646.859897769, 617657.6686939358 4827640.570279005, 617645.8877258176 4827635.317290232, 617624.5925789119 4827623.026562433)","(240.0,)","('06-11-2016',)",12072.0,987.0
39,40,914826,2618,Thirty Seventh St,13470707,13470661,0,261.189095014,914826,2,0.00244539974562,"LINESTRING (618081.5489692992 4827504.524025475, 617998.1170847785 4827751.993820975)","(239.0,)","('11-12-2015',)",13675.0,1763.0
40,41,20362226,6699,Sheppard Ave W,13450458,20362228,0,294.544089268,20362226,4,0.00339762469659,"LINESTRING (623712.5822772805 4845281.701835476, 623667.0430591684 4845268.306517961, 623662.0517036752 4845268.035111807, 623639.8645736576 4845265.158983763, 623620.9846379387 4845268.173206736, 623597.4027086996 4845271.679160192, 623584.3959500222 4845274.713708009, 623572.573566622 4845279.871685728, 623562.5101402046 4845283.721483388, 623552.5389049069 4845288.940970697, 623542.4499813888 4845294.52438895, 623531.2851011113 4845301.368430942, 623524.7768756419 4845307.036785953, 623465.2931851887 4845381.326608695)","(1403.0,)","('04-02-2014',)",43882.0,1287.0
63,64,7664563,1962,Lake Shore Blvd W,13470661,13470664,0,37.0542652693,7664563,3,0.000447880210003,"LINESTRING (617998.1170847785 4827751.993820975, 617981.0438071182 4827745.944627481, 617963.1943967318 4827739.621656951)","(239.0,)","('11-12-2015',)",13675.0,1763.0
64,65,7664573,1962,Lake Shore Blvd W,13470656,13470661,0,99.6959330948,7664573,3,0.00120971207556,"LINESTRING (618092.9431346151 4827782.730454725, 617998.1170847785 4827751.993820975)","(239.0,)","('11-12-2015',)",13675.0,1763.0
66,67,30107530,1165,Bethridge Rd,13457060,13457328,0,1051.63327087,30107530,2,0.0128998809263,"LINESTRING (615569.4427528447 4840569.628015049, 615435.2179867529 4840521.019378273, 615383.3315667259 4840504.333031327, 615362.7835798309 4840499.304107771, 615346.0968161833 4840495.548965636, 615327.4841486977 4840492.764924534, 615244.7294260707 4840485.72415335, 615020.5374758276 4840478.818733987, 614843.9541531797 4840469.519744573, 614826.5893775992 4840467.416083604, 614813.2029603863 4840465.416223729, 614799.4920711053 4840462.774577173, 614783.7297554408 4840459.054727265, 614663.7801065854 4840417.13571663, 614546.9183407406 4840373.556491877)","(1083.0, 1208.0)","('04-03-2014', '05-19-2015')",14225.5,154.5
84,85,7940518,86,Danforth Ave,13460873,13460850,0,57.5151465407,7940518,1,0.000701025048697,"LINESTRING (635334.515821888 4838140.063087945, 635389.5752396572 4838156.6745844)","(1469.0,)","('05-07-2015',)",10390.0,3336.0
157,158,20230538,1962,Lake Shore Blvd W,20230539,13470724,0,224.795627186,20230538,3,0.00234026803658,"LINESTRING (617591.6254724717 4827601.352212182, 617591.0157045224 4827600.892220603, 617579.3420670214 4827590.455260062, 617565.2104983339 4827577.329191091, 617553.3291133046 4827563.87922141, 617543.3368334168 4827551.188438089, 617534.3102883368 4827538.819824444, 617526.7703202232 4827526.809879555, 617497.2663900628 4827482.871739323, 617457.1600946876 4827422.427217598)","(241.0,)","('11-12-2015',)",10946.0,280.0
219,220,912717,2060,Markland Dr,13469133,13469076,0,67.6011919287,912717,2,0.000637832136422,"LINESTRING (615289.5787982715 4832166.378443957, 615284.9129032836 4832179.696403651, 615278.3372715013 4832196.260750129, 615272.771899589 4832211.824405774, 615266.0640078966 4832229.739473209)","(1013.0,)","('05-28-2012',)",11386.0,280.0
220,221,912782,458,Bloor St W,13469133,13469193,0,229.963631316,912782,3,0.00275313465504,"LINESTRING (615289.5787982715 4832166.378443957, 615108.4982299854 4832094.306631048, 615078.053888973 4832076.96719084)","(1013.0, 1816.0)","('05-28-2012', '06-14-2011')",11061.0,264.5
